dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.359631,3.020580,6.135000,3.000000,0.000000,0.000000,0.060501
0.010000,4.389575,3.022407,6.165000,3.000000,0.000000,0.000000,0.061375
0.010000,4.419518,3.024261,6.195000,3.000000,0.000000,0.000000,0.062321
0.010000,4.449458,3.026144,6.225000,3.000000,0.000000,0.000000,0.063338
0.010000,4.479397,3.028059,6.255000,3.000000,0.000000,0.000000,0.064428
0.010000,4.509334,3.030008,6.285000,3.000000,0.000000,0.000000,0.065592
0.010000,4.539268,3.031993,6.315000,3.000000,0.000000,0.000000,0.066829
0.010000,4.569200,3.034015,6.345000,3.000000,0.000000,0.000000,0.068140
0.010000,4.599129,3.036079,6.375000,3.000000,0.000000,0.000000,0.069526
0.010000,4.629055,3.038184,6.405000,3.000000,0.000000,0.000000,0.070988
0.010000,4.658978,3.040335,6.435000,3.000000,0.000000,0.000000,0.072526
0.010000,4.688897,3.042533,6.465000,3.000000,0.000000,0.000000,0.074141
0.010000,4.718813,3.044780,6.495000,3.000000,0.000000,0.000000,0.075834
0.010000,4.748724,3.047079,6.525000,3.000000,0.000000,0.000000,0.077605
0.010000,4.778632,3.049433,6.555000,3.000000,0.000000,0.000000,0.079456
0.010000,4.808535,3.051842,6.585000,3.000000,0.000000,0.000000,0.081387
0.010000,4.838433,3.054311,6.615000,3.000000,0.000000,0.000000,0.083399
0.010000,4.868326,3.056841,6.645000,3.000000,0.000000,0.000000,0.085493
0.010000,4.898214,3.059435,6.675000,3.000000,0.000000,0.000000,0.087670
0.010000,4.928096,3.062096,6.705000,3.000000,0.000000,0.000000,0.089931
0.010000,4.957971,3.064825,6.735000,3.000000,0.000000,0.000000,0.092278
0.010000,4.987840,3.067625,6.765000,3.000000,0.000000,0.000000,0.094711
0.010000,5.017702,3.070500,6.795000,3.000000,0.000000,0.000000,0.097231
0.010000,5.047557,3.073451,6.825000,3.000000,0.000000,0.000000,0.099841
0.010000,5.077403,3.076481,6.855000,3.000000,0.000000,0.000000,0.102540
0.010000,5.107242,3.079593,6.885000,3.000000,0.000000,0.000000,0.105331
0.010000,5.137071,3.082790,6.915000,3.000000,0.000000,0.000000,0.108214
0.010000,5.166890,3.086075,6.945000,3.000000,0.000000,0.000000,0.111191
0.010000,5.196700,3.089449,6.975000,3.000000,0.000000,0.000000,0.114264
0.010000,5.226499,3.092916,7.005000,3.000000,0.000000,0.000000,0.117434
0.010000,5.256287,3.096480,7.035000,3.000000,0.000000,0.000000,0.120703
0.010000,5.286062,3.100142,7.065000,3.000000,0.000000,0.000000,0.124072
0.010000,5.315825,3.103906,7.095000,3.000000,0.000000,0.000000,0.127542
0.010000,5.345575,3.107775,7.125000,3.000000,0.000000,0.000000,0.131117
0.010000,5.375310,3.111752,7.155000,3.000000,0.000000,0.000000,0.134796
0.010000,5.405030,3.115839,7.185000,3.000000,0.000000,0.000000,0.138583
0.010000,5.434734,3.120041,7.215000,3.000000,0.000000,0.000000,0.142478
0.010000,5.464422,3.124360,7.245000,3.000000,0.000000,0.000000,0.146485
0.010000,5.494091,3.128800,7.275000,3.000000,0.000000,0.000000,0.150604
0.010000,5.523742,3.133363,7.305000,3.000000,0.000000,0.000000,0.154838
0.010000,5.553373,3.138054,7.335000,3.000000,0.000000,0.000000,0.159189
0.010000,5.582983,3.142876,7.365000,3.000000,0.000000,0.000000,0.163659
0.010000,5.612571,3.147831,7.395000,3.000000,0.000000,0.000000,0.168250
0.010000,5.642136,3.152924,7.425000,3.000000,0.000000,0.000000,0.172965
0.010000,5.671675,3.158158,7.455000,3.000000,0.000000,0.000000,0.177805
0.010000,5.701189,3.163538,7.485000,3.000000,0.000000,0.000000,0.182774
0.010000,5.730676,3.169065,7.515000,3.000000,0.000000,0.000000,0.187873
0.010000,5.760133,3.174745,7.545000,3.000000,0.000000,0.000000,0.193104
0.010000,5.789560,3.180581,7.575000,3.000000,0.000000,0.000000,0.198471
0.010000,5.818954,3.186577,7.605000,3.000000,0.000000,0.000000,0.203976
0.010000,5.848315,3.192736,7.635000,3.000000,0.000000,0.000000,0.209622
0.010000,5.877640,3.199063,7.665000,3.000000,0.000000,0.000000,0.215410
0.010000,5.906928,3.205562,7.695000,3.000000,0.000000,0.000000,0.221344
0.010000,5.936176,3.212237,7.725000,3.000000,0.000000,0.000000,0.227426
0.010000,5.965382,3.219092,7.755000,3.000000,0.000000,0.000000,0.233660
0.010000,5.994545,3.226131,7.785000,3.000000,0.000000,0.000000,0.240047
0.010000,6.023661,3.233358,7.815000,3.000000,0.000000,0.000000,0.246591
0.010000,6.052729,3.240778,7.845000,3.000000,0.000000,0.000000,0.253294
0.010000,6.081746,3.248395,7.875000,3.000000,0.000000,0.000000,0.260159
0.010000,6.110709,3.256214,7.905000,3.000000,0.000000,0.000000,0.267189
0.010000,6.139616,3.264238,7.935000,3.000000,0.000000,0.000000,0.274387
